Source,Target,Count,AvgDwell,Thickness,Density,X1,Y1,X2,Y2
Brain,Eye,3,32.83,0.657,0.500,350,150,500,260
Brain,Heart,4,28.62,0.572,0.667,350,150,100,200
Brain,Lung,5,30.80,0.616,0.833,350,150,250,420
Eye,Brain,5,30.10,0.602,0.833,500,260,350,150
Eye,Heart,4,30.88,0.618,0.667,500,260,100,200
Eye,Lung,4,28.75,0.575,0.667,500,260,250,420
Heart,Brain,5,32.40,0.648,0.833,100,200,350,150
Heart,Eye,6,28.50,0.570,1.000,100,200,500,260
Heart,Lung,5,35.60,0.712,0.833,100,200,250,420
Lung,Brain,4,33.62,0.672,0.667,250,420,350,150
Lung,Eye,5,29.10,0.582,0.833,250,420,500,260
Lung,Heart,6,29.00,0.580,1.000,250,420,100,200
