VisitorID,ArtworkID,Order,DwellTime
1,Heart,1,25
1,Brain,2,40
1,Eye,3,20
2,Heart,1,18
2,Lung,2,50
2,Brain,3,22
3,Eye,1,15
3,Heart,2,35
4,Brain,1,32
4,Heart,2,28
4,Lung,3,42
4,Eye,4,18
5,Lung,1,24
5,Heart,2,38
5,Eye,3,27
5,Brain,4,45
6,Eye,1,21
6,Lung,2,33
6,Heart,3,29
6,Brain,4,37
7,Brain,1,16
7,Lung,2,41
7,Eye,3,25
7,Heart,4,44
8,Heart,1,30
8,Eye,2,14
8,Lung,3,36
8,Brain,4,26
9,Lung,1,48
9,Brain,2,19
9,Heart,3,34
9,Eye,4,22
10,Eye,1,39
10,Brain,2,23
10,Lung,3,31
10,Heart,4,17
11,Brain,1,27
11,Eye,2,43
11,Lung,3,20
11,Heart,4,36
12,Heart,1,46
12,Lung,2,28
12,Eye,3,33
12,Brain,4,18
13,Lung,1,15
13,Eye,2,29
13,Heart,3,41
13,Brain,4,24
14,Eye,1,26
14,Heart,2,32
14,Lung,3,47
14,Brain,4,21
15,Brain,1,35
15,Heart,2,20
15,Eye,3,38
15,Lung,4,25
16,Heart,1,22
16,Brain,2,31
16,Lung,3,44
16,Eye,4,16
17,Lung,1,37
17,Heart,2,27
17,Brain,3,48
17,Eye,4,19
18,Eye,1,17
18,Brain,2,36
18,Heart,3,25
18,Lung,4,40
19,Brain,1,42
19,Lung,2,23
19,Heart,3,33
19,Eye,4,28
20,Heart,1,34
20,Eye,2,24
20,Brain,3,39
20,Lung,4,18
